view_id,view,crypto,accuracy_down,accuracy_neutral,accuracy_up,precision_down,precision_neutral,precision_up,recall_down,recall_neutral,recall_up,f1_down,f1_neutral,f1_up,exec_time
M,snapshot-BINANCE--candles-BINANCE,BNB,0.005044136191677175,0.9993590400984514,0.007202216066481994,0.3870967741935484,0.9039027896945945,0.38235294117647056,0.005044136191677175,0.9993590400984514,0.007202216066481994,0.009958506224066391,0.9492371570859766,0.014138118542686243,260.9011960029602
M,snapshot-BINANCE--candles-BINANCE,DOGE,0.004107713372889092,0.999330655957162,0.008360427310729215,0.5294117647058824,0.9002319109461967,0.35294117647058826,0.004107713372889092,0.999330655957162,0.008360427310729215,0.008152173913043478,0.9471963300961398,0.016333938294010888,253.95980596542358
M,snapshot-BINANCE--candles-BINANCE,DOT,0.0034103827207275484,0.9991034464572951,0.013709063214013708,0.75,0.8793603639148699,0.4044943820224719,0.0034103827207275484,0.9991034464572951,0.013709063214013708,0.006789890607317993,0.9354153808171831,0.026519337016574586,241.19183897972107
M,snapshot-BINANCE--candles-BINANCE,NEO,0.027317510076130765,0.9980890897353131,0.00945945945945946,0.32620320855614976,0.9007667389125824,0.25609756097560976,0.027317510076130765,0.9980890897353131,0.00945945945945946,0.050413223140495865,0.9469338755910527,0.018245004344048653,247.82812690734863
M,snapshot-BINANCE--candles-BINANCE,SOL,0.022286821705426358,0.9978704477451007,0.013689482470784642,0.43125,0.8625285428025538,0.37272727272727274,0.022286821705426358,0.9978704477451007,0.013689482470784642,0.04238329238329239,0.9252765106542522,0.02640901771336554,247.72080087661743
N,snapshot-HOUBI--candles-HOUBI,AVAX,0.002287675150128682,0.999124194824274,0.004890544946436889,0.25,0.8206098013736773,0.3559322033898305,0.002287675150128682,0.999124194824274,0.004890544946436889,0.004533862283933126,0.9011109412424196,0.009648518263266714,221.55529499053955
N,snapshot-HOUBI--candles-HOUBI,BNB,0.006305170239596469,0.9993846784945134,0.003878116343490305,0.29411764705882354,0.9040307992021893,0.3684210526315789,0.006305170239596469,0.9993846784945134,0.003878116343490305,0.012345679012345678,0.9493193054236381,0.0076754385964912285,191.367103099823
N,snapshot-HOUBI--candles-HOUBI,DOGE,0.004564125969876769,0.9993049119555144,0.012076172782164421,0.4166666666666667,0.9005219812086764,0.4406779661016949,0.004564125969876769,0.9993049119555144,0.012076172782164421,0.009029345372460498,0.9473453001256879,0.02350813743218806,188.9120409488678
N,snapshot-HOUBI--candles-HOUBI,DOT,0.0007578628268283441,0.9990507080136065,0.013328255902513329,0.18181818181818182,0.8793751740785443,0.3763440860215054,0.0007578628268283441,0.9990507080136065,0.013328255902513329,0.001509433962264151,0.9354006443887565,0.025744759102611252,186.69845294952393
N,snapshot-HOUBI--candles-HOUBI,NEO,0.014658726523133303,0.9991980110674473,0.015228426395939087,0.5818181818181818,0.898485576923077,0.3235294117647059,0.014658726523133303,0.9991980110674473,0.015228426395939087,0.028596961572832886,0.9461693267685143,0.029087703834288235,191.88892602920532
N,snapshot-HOUBI--candles-HOUBI,SOL,0.02260981912144703,0.9976547968838451,0.015692821368948246,0.45161290322580644,0.8625230138199446,0.3790322580645161,0.02260981912144703,0.9976547968838451,0.015692821368948246,0.04306367271608736,0.9251806114541409,0.03013786470022443,198.4690978527069
O,snapshot-OKX--candles-OKX,AVAX,0.0017157563625965113,0.9974856626267763,0.0183977643223102,0.2727272727272727,0.8219956232248452,0.37264150943396224,0.0017157563625965113,0.9974856626267763,0.0183977643223102,0.0034100596760443308,0.9012775842044134,0.03506435863293386,187.3098292350769
O,snapshot-OKX--candles-OKX,BNB,0.007566204287515763,0.9988975207035357,0.009418282548476454,0.32727272727272727,0.9043010003945872,0.3469387755102041,0.007566204287515763,0.9988975207035357,0.009418282548476454,0.014790468364831553,0.9492483492922057,0.018338727076591153,200.58534574508667
O,snapshot-OKX--candles-OKX,DOGE,0.003194888178913738,0.9992533855105299,0.010682768230376219,0.4666666666666667,0.9003665212953512,0.36507936507936506,0.003194888178913738,0.9992533855105299,0.010682768230376219,0.006346328195829556,0.9472361195851129,0.020758122743682307,204.38682174682617
O,snapshot-OKX--candles-OKX,DOT,0.00037893141341417203,0.9994198618216339,0.007996953541507998,0.16666666666666666,0.8789221029196911,0.35,0.00037893141341417203,0.9994198618216339,0.007996953541507998,0.0007561436672967864,0.9353059486939033,0.01563663440059568,185.67691802978516
O,snapshot-OKX--candles-OKX,NEO,0.019704433497536946,0.9983471928102887,0.01756756756756757,0.411214953271028,0.9004052732100434,0.291044776119403,0.019704433497536946,0.9983471928102887,0.01756756756756757,0.037606837606837605,0.9468502008425591,0.03313508920985557,164.04652404785156
O,snapshot-OKX--candles-OKX,SOL,0.030038759689922482,0.9960104590667709,0.021702838063439065,0.41150442477876104,0.8639807323574803,0.33163265306122447,0.030038759689922482,0.9960104590667709,0.021702838063439065,0.055990367248645395,0.9253095926774603,0.040739580068943904,207.3099229335785
P,candles-BINANCE--candles-HOUBI--candles-OKX,AVAX,0.001143837575064341,0.9968641410289008,0.024918490917559384,0.23529411764705882,0.8227859907662174,0.37543859649122807,0.001143837575064341,0.9968641410289008,0.024918490917559384,0.0022766078542970974,0.9014984096163918,0.04673509499890806,166.96342515945435
P,candles-BINANCE--candles-HOUBI--candles-OKX,BNB,0.007566204287515763,0.9990257409496461,0.006648199445983379,0.3673469387755102,0.9041674401336551,0.27906976744186046,0.007566204287515763,0.9990257409496461,0.006648199445983379,0.014827018121911038,0.9492326431181487,0.012987012987012986,186.56243586540222
P,candles-BINANCE--candles-HOUBI--candles-OKX,DOGE,0.004107713372889092,0.9991761919472762,0.013005109150023224,0.42857142857142855,0.9004686557468331,0.4307692307692308,0.004107713372889092,0.9991761919472762,0.013005109150023224,0.0081374321880651,0.9472579503575524,0.025247971145175838,177.70359015464783
P,candles-BINANCE--candles-HOUBI--candles-OKX,DOT,0.002652519893899204,0.998892492682541,0.0178979436405179,0.6363636363636364,0.8798894360308465,0.376,0.002652519893899204,0.998892492682541,0.0178979436405179,0.005283018867924528,0.9356221055881445,0.034169392948018906,171.29573321342468
P,candles-BINANCE--candles-HOUBI--candles-OKX,NEO,0.019704433497536946,0.9975984506132989,0.024324324324324326,0.34375,0.9012481045141724,0.2918918918918919,0.019704433497536946,0.9975984506132989,0.024324324324324326,0.03727234222786955,0.9469787964211299,0.04490644490644491,174.05534505844116
P,candles-BINANCE--candles-HOUBI--candles-OKX,SOL,0.02487080103359173,0.997115669730706,0.018030050083472453,0.4375,0.8633647651946597,0.32142857142857145,0.02487080103359173,0.997115669730706,0.018030050083472453,0.047066014669926645,0.9254325064735243,0.03414479924122668,180.55626916885376
