,view_id,view,crypto,accuracy_down,accuracy_neutral,accuracy_up,precision_down,precision_neutral,precision_up,recall_down,recall_neutral,recall_up,f1_down,f1_neutral,f1_up,exec_time,learning_rate,max_iter,max_leaf_nodes
65,B,candles-HOUBI,DOGE,0.0095846645367412,0.9970651838121718,0.025545750116117,0.2560975609756097,0.9021663172606568,0.3125,0.0095846645367412,0.9970651838121718,0.025545750116117,0.01847778266608,0.9472448455499304,0.047230571060541,17.037524938583374,0.5,50.0,100.0
66,B,candles-HOUBI,DOGE,0.0091282519397535,0.9989702399340954,0.0120761727821644,0.4,0.9010146980286532,0.3661971830985915,0.0091282519397535,0.9989702399340954,0.0120761727821644,0.0178491744756805,0.9474673731244888,0.0233812949640287,15.007012128829956,0.5,150.0,10.0
67,B,candles-HOUBI,DOGE,0.0095846645367412,0.9970651838121718,0.025545750116117,0.2560975609756097,0.9021663172606568,0.3125,0.0095846645367412,0.9970651838121718,0.025545750116117,0.01847778266608,0.9472448455499304,0.047230571060541,17.10699486732483,0.5,150.0,100.0
68,B,candles-HOUBI,DOGE,0.0,1.0,0.0,0.0,0.8994165045846069,0.0,0.0,1.0,0.0,0.0,0.9470450555880632,0.0,21.537747859954838,0.001,50.0,10.0
69,B,candles-HOUBI,DOGE,0.0,1.0,0.0,0.0,0.8994165045846069,0.0,0.0,1.0,0.0,0.0,0.9470450555880632,0.0,52.99880909919739,0.001,50.0,100.0
70,B,candles-HOUBI,DOGE,0.0,1.0,0.0,0.0,0.8994165045846069,0.0,0.0,1.0,0.0,0.0,0.9470450555880632,0.0,44.05093932151794,0.001,150.0,10.0
71,B,candles-HOUBI,DOGE,0.0,1.0,0.0,0.0,0.8994165045846069,0.0,0.0,1.0,0.0,0.0,0.9470450555880632,0.0,134.7460420131683,0.001,150.0,100.0
72,B,candles-HOUBI,DOT,0.0034103827207275,0.9976795084777048,0.0262757044935262,0.3103448275862069,0.8805799934832192,0.3575129533678756,0.0034103827207275,0.9976795084777048,0.0262757044935262,0.0067466266866566,0.9354794842314776,0.0489535296204327,15.040800094604492,0.5,50.0,10.0
73,B,candles-HOUBI,DOT,0.0098522167487684,0.996097355167049,0.0274181264280274,0.2736842105263158,0.8814196047320157,0.3050847457627119,0.0098522167487684,0.996097355167049,0.0274181264280274,0.0190197512801755,0.9352562515474128,0.050314465408805,16.937659978866577,0.5,50.0,100.0
74,B,candles-HOUBI,DOT,0.0034103827207275,0.9976795084777048,0.0262757044935262,0.3103448275862069,0.8805799934832192,0.3575129533678756,0.0034103827207275,0.9976795084777048,0.0262757044935262,0.0067466266866566,0.9354794842314776,0.0489535296204327,15.012616872787476,0.5,150.0,10.0
75,B,candles-HOUBI,DOT,0.0098522167487684,0.996097355167049,0.0274181264280274,0.2736842105263158,0.8814196047320157,0.3050847457627119,0.0098522167487684,0.996097355167049,0.0274181264280274,0.0190197512801755,0.9352562515474128,0.050314465408805,16.97843599319458,0.5,150.0,100.0
76,B,candles-HOUBI,DOT,0.0,1.0,0.0,0.0,0.8780911364267853,0.0,0.0,1.0,0.0,0.0,0.9350889521766468,0.0,22.47045874595642,0.001,50.0,10.0
77,B,candles-HOUBI,DOT,0.0,1.0,0.0,0.0,0.8780911364267853,0.0,0.0,1.0,0.0,0.0,0.9350889521766468,0.0,52.916619062423706,0.001,50.0,100.0
